coin,totalCurrentValue
ava-ai,1206.3910869795423
duck-ai,609.7537566038258
freysa-ai,502.3417480512588
spectra-finance,342.3069125341967
henlo-2,299.7545113027216
spx6900,244.30670081650845
automata,244.2570136149822
aixbt,235.5483918577632
gigachad-2,231.4576691629528
virtual-protocol,219.15262212340733
iiii-lovvv-youuuu,202.63885761698603
euler,201.41835842865282
fwog,193.07019457421563
base-god,192.98912801299812
ora-protocol,188.18672401121495
fartcoin,187.93578303730342
vectorchat-ai,185.73239675264242
lock-in,183.91030913342877
echelon-prime,177.1936752651545
pudgy-penguins,174.7717195184827
illuminex,169.93754067760148
cow-protocol,164.2303096645087
minimini,163.1269106614522
bitget-token,161.8708638583542
dinero-2,160.8789773617184
selfiedogcoin,160.8688822528183
nosana,159.66597794882085
drift-protocol,158.6500220870517
caprisun-monkey,158.03334622905342
retardio,155.46213784914633
meow,154.62684334446703
zeus-network,152.7471275794446
livepeer,152.66572600033044
sui,150.7533694684389
grass,149.41267977921973
openserv,148.06599518660428
dogecoin,147.64505161929986
raydium,146.79978921994584
pepe,145.27723855479107
ethena,144.29357934913133
puffer-finance,144.10007185923268
stellar,143.24809421972645
kusama,143.19596492054632
morphware,141.8984181343162
thena,141.8044397017927
wojak,141.53692994659414
apu-s-club,141.06024802459288
mog-coin,140.98777315976014
stader,140.64633980593092
theta-token,140.1253424828278
vanar-chain,140.08672590091678
bittensor,139.43528312206683
cardano,139.13738405655025
woo-network,138.7365208228458
io,137.25113013178535
popcat,135.95024058597372
tars-protocol,135.65910895800806
uniswap,135.27318331968416
cat-in-a-dogs-world,132.9367550509023
arbitrum,132.8036626237904
liquity,132.7279338793072
alchemy-pay,132.55684840788584
fetch-ai,131.50783130776705
across-protocol,131.37312841410983
render-token,131.25716853278087
peapods-finance,130.79975856620385
michicoin,129.83600412907944
aave,128.84740490555933
aura-on-sol,128.6943009501337
cartesi,127.99765968684744
filecoin,127.62997586707725
near,127.18308662811529
jupiter-exchange-solana,127.13843425168584
celestia,127.08903774908391
monkeyhaircut,126.93292571898657
dither,126.70100578695
injective-protocol,126.47452475362523
optimism,126.38044041843428
flow,126.13583297306594
sei-network,125.35591787576122
conflux-token,125.26524232755449
endurance,125.10034352674352
celo,124.91233888072152
dogwifcoin,124.69178367915626
harrypotterobamasonic10in,124.5259347168939
astar,124.07667400599729
banana-gun,123.85713979798703
self-chain,123.5255379481808
solana,122.56001314733437
saga-2,122.53793179128652
ripple,122.4484060216529
akash-network,122.18201953530489
empyreal,122.13826121908286
pixels,121.88854275518615
mumu-the-bull-3,121.73765153928187
mina-protocol,121.39883632716045
smoking-chicken-fish,121.23310045611355
pyth-network,120.65718399069068
tron,119.91175214003832
simon-s-cat,119.66990468794896
metaplex,119.47741980630619
dream-machine-token,119.33523250874008
the-open-network,118.99084827524369
chasm-ai,118.71495832456436
theta-fuel,118.47217540412421
synesis-one,118.25136575881837
aerodrome-finance,118.07390224832761
layerzero,117.78025738880174
dymension,117.65388473773749
ethereum,117.41026155578749
chainlink,117.40426971382789
blur,116.64355982956467
jito-governance-token,115.48611359365708
mantra-dao,115.44193429592029
dubbz,115.42494414436024
paraswap,114.73236647533608
spectral,114.71157279294901
clearpool,114.24143494193493
kaspa,114.04893171296537
billy,113.82900221411742
thorchain,113.63698314174148
vertex-protocol,113.60236698087934
non-playable-coin,113.2286415623128
hilo-2,111.21330245218581
helium,110.93532726162476
zignaly,110.57925743308606
graphlinq-protocol,110.2453483268017
inverse-finance,109.8661705103163
blockstack,109.83309132810572
hyperliquid,109.45039573824174
pocket-network,108.97045968755985
velodrome-finance,108.62758153868809
eden,108.17217473424125
meta-2,106.62732124798744
bitcoin,105.82423765019534
only1,105.39732689152602
kujira,103.2289730927495
zero1-labs,102.58961481101456
kamino,101.58243280478193
aptos,99.96849488990864
maple,99.21584027717162
fantom,98.8061456952892
contango,96.31022449531666
elastic-finance-token,95.72906449119415
ait-protocol,95.70902362683938
instadapp,93.8632024909752
wrapped-quil,93.7563606716178
chex-token,93.30637045958265
crown-by-third-time-games,92.65118528715392
carbify,92.07931770521164
rollbit-coin,92.0278657846876
alephium,91.63172452665911
picasso,91.060101091844
media-licensing-token,90.87353634441148
mother-iggy,90.5406885397653
natix-network,88.5189572175459
xnet-mobile-2,87.36727708537076
autonolas,86.7119160352416
woman-yelling-at-cat,84.42770773463127
build-on-bnb,70.12077186009616
kerosene,56.60544914627186
dog-with-apple-in-mouth,49.43981855746196
wazirx,34.81729937995818
swarms,0
